epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,31.4043,0.41299,0.4197,0.61842,0.8295,0,0.98267,1,0.995,0.93573,0.98267,1,0.995,0.90922,0.36031,0.46774,0.56196,0.80207,0,0.000420875,0.000420875,0.000420875
69,31.8766,0.41219,0.3639,0.58709,0.81894,0,0.97991,1,0.995,0.93945,0.97991,1,0.995,0.90674,0.34115,0.45743,0.56426,0.80041,0,0.0004085,0.0004085,0.0004085
70,32.3393,0.40856,0.44202,0.6006,0.81226,0,0.97991,1,0.995,0.93945,0.97991,1,0.995,0.90674,0.34115,0.45743,0.56426,0.80041,0,0.000396125,0.000396125,0.000396125
71,32.8188,0.39734,0.41539,0.6028,0.82315,0,0.98207,1,0.995,0.93433,0.98207,1,0.995,0.90376,0.32561,0.44297,0.57139,0.80192,0,0.00038375,0.00038375,0.00038375
72,33.2609,0.36499,0.44143,0.65275,0.81414,0,0.98207,1,0.995,0.93433,0.98207,1,0.995,0.90376,0.32561,0.44297,0.57139,0.80192,0,0.000371375,0.000371375,0.000371375
73,33.7124,0.3844,0.36111,0.57134,0.79316,0,0.98532,1,0.995,0.93506,0.98532,1,0.995,0.89978,0.32519,0.4304,0.55865,0.80012,0,0.000359,0.000359,0.000359
74,34.1564,0.42113,0.41384,0.56385,0.82315,0,0.98532,1,0.995,0.93506,0.98532,1,0.995,0.89978,0.32519,0.4304,0.55865,0.80012,0,0.000346625,0.000346625,0.000346625
75,34.6,0.39847,0.41695,0.58072,0.80644,0,0.97981,1,0.995,0.94291,0.97981,1,0.995,0.9093,0.31577,0.42934,0.55399,0.79855,0,0.00033425,0.00033425,0.00033425
76,35.049,0.37778,0.39567,0.56776,0.81684,0,0.97981,1,0.995,0.94291,0.97981,1,0.995,0.9093,0.31577,0.42934,0.55399,0.79855,0,0.000321875,0.000321875,0.000321875
77,35.5118,0.40175,0.39391,0.58367,0.7979,0,0.97604,1,0.995,0.93995,0.97604,1,0.995,0.89329,0.31556,0.43531,0.55186,0.79728,0,0.0003095,0.0003095,0.0003095
78,35.9532,0.39576,0.42887,0.54392,0.81151,0,0.97604,1,0.995,0.93995,0.97604,1,0.995,0.89329,0.31556,0.43531,0.55186,0.79728,0,0.000297125,0.000297125,0.000297125
79,36.4068,0.3871,0.37222,0.6064,0.8315,0,0.97641,1,0.995,0.95363,0.97641,1,0.995,0.89642,0.32077,0.43857,0.54915,0.79655,0,0.00028475,0.00028475,0.00028475
80,36.8487,0.37524,0.44696,0.58169,0.83173,0,0.97641,1,0.995,0.95363,0.97641,1,0.995,0.89642,0.32077,0.43857,0.54915,0.79655,0,0.000272375,0.000272375,0.000272375
81,37.3057,0.38693,0.45639,0.5768,0.82114,0,0.98042,1,0.995,0.95148,0.98042,1,0.995,0.90269,0.33611,0.44466,0.55425,0.79634,0,0.00026,0.00026,0.00026
82,37.7495,0.34757,0.39172,0.57988,0.81377,0,0.98042,1,0.995,0.95148,0.98042,1,0.995,0.90269,0.33611,0.44466,0.55425,0.79634,0,0.000247625,0.000247625,0.000247625
83,38.2258,0.33145,0.36837,0.54752,0.80754,0,0.98415,1,0.995,0.94193,0.98415,1,0.995,0.89851,0.35195,0.44852,0.54333,0.79625,0,0.00023525,0.00023525,0.00023525
84,38.6557,0.36255,0.43452,0.55848,0.80494,0,0.98415,1,0.995,0.94193,0.98415,1,0.995,0.89851,0.35195,0.44852,0.54333,0.79625,0,0.000222875,0.000222875,0.000222875
85,39.11,0.36679,0.4195,0.52982,0.82809,0,0.98684,1,0.995,0.94193,0.98684,1,0.995,0.9005,0.3514,0.43893,0.53332,0.79671,0,0.0002105,0.0002105,0.0002105
86,39.5408,0.36066,0.37327,0.54386,0.81711,0,0.98684,1,0.995,0.94193,0.98684,1,0.995,0.9005,0.3514,0.43893,0.53332,0.79671,0,0.000198125,0.000198125,0.000198125
87,39.994,0.3674,0.36728,0.53897,0.80582,0,0.98819,1,0.995,0.9368,0.98819,1,0.995,0.89566,0.3406,0.42328,0.52753,0.79618,0,0.00018575,0.00018575,0.00018575
88,40.4271,0.33278,0.32993,0.6197,0.79407,0,0.98819,1,0.995,0.9368,0.98819,1,0.995,0.89566,0.3406,0.42328,0.52753,0.79618,0,0.000173375,0.000173375,0.000173375
89,40.884,0.40081,0.40341,0.54267,0.79824,0,0.98911,1,0.995,0.94371,0.98911,1,0.995,0.90091,0.3267,0.41346,0.52836,0.79578,0,0.000161,0.000161,0.000161
90,41.328,0.35671,0.39726,0.55242,0.81408,0,0.98911,1,0.995,0.94371,0.98911,1,0.995,0.90091,0.3267,0.41346,0.52836,0.79578,0,0.000148625,0.000148625,0.000148625
91,42.1515,0.32762,0.3613,0.64065,0.76236,0,0.98957,1,0.995,0.94371,0.98957,1,0.995,0.89847,0.3198,0.41058,0.52597,0.79443,0,0.00013625,0.00013625,0.00013625
92,42.6096,0.32328,0.39229,0.63179,0.79469,0,0.98957,1,0.995,0.94371,0.98957,1,0.995,0.89847,0.3198,0.41058,0.52597,0.79443,0,0.000123875,0.000123875,0.000123875
93,43.0533,0.33164,0.37117,0.61955,0.78761,0,0.98982,1,0.995,0.94241,0.98982,1,0.995,0.89394,0.31342,0.40918,0.52503,0.79398,0,0.0001115,0.0001115,0.0001115
94,43.4814,0.30031,0.34674,0.60808,0.78384,0,0.98982,1,0.995,0.94241,0.98982,1,0.995,0.89394,0.31342,0.40918,0.52503,0.79398,0,9.9125e-05,9.9125e-05,9.9125e-05
95,43.9194,0.31484,0.37391,0.60091,0.78492,0,0.98944,1,0.995,0.93845,0.98944,1,0.995,0.89711,0.31297,0.40889,0.52507,0.79396,0,8.675e-05,8.675e-05,8.675e-05
96,44.3473,0.31778,0.36985,0.61772,0.799,0,0.98944,1,0.995,0.93845,0.98944,1,0.995,0.89711,0.31297,0.40889,0.52507,0.79396,0,7.4375e-05,7.4375e-05,7.4375e-05
97,44.789,0.29362,0.37935,0.58879,0.78051,0,0.98822,1,0.995,0.94608,0.98822,1,0.995,0.88998,0.3096,0.40953,0.53415,0.79446,0,6.2e-05,6.2e-05,6.2e-05
98,45.2164,0.31212,0.36352,0.59157,0.8051,0,0.98822,1,0.995,0.94608,0.98822,1,0.995,0.88998,0.3096,0.40953,0.53415,0.79446,0,4.9625e-05,4.9625e-05,4.9625e-05
99,45.654,0.3093,0.37672,0.60567,0.76076,0,0.98715,1,0.995,0.93805,0.98715,1,0.995,0.89198,0.30916,0.40994,0.53824,0.795,0,3.725e-05,3.725e-05,3.725e-05
100,46.0849,0.32267,0.37665,0.63178,0.77488,0,0.98715,1,0.995,0.93805,0.98715,1,0.995,0.89198,0.30916,0.40994,0.53824,0.795,0,2.4875e-05,2.4875e-05,2.4875e-05
